artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Lil Uzi Vert,Patience (feat. Don Toliver),05grSYrVwYw58YMOdJceyz,79,0.706,0.64,4,-3.146,0,0.203,0.086,0.0,0.537,0.184,143.905,164838,4
HARDY,red (feat. Morgan Wallen),2D3JfPyY2LkzXgNOb7qziR,79,0.582,0.878,11,-4.564,1,0.0404,0.0305,0.0,0.0791,0.581,140.03,205768,4
Bryan Martin,We Ride,72kGuWpRiuA149Bn5lDkIO,80,0.62,0.706,3,-4.176,1,0.0251,0.0755,7.78e-06,0.185,0.591,81.989,188483,4
Toosii,Pull Up (feat. 21 Savage),4EzkcqltSOxYE2lstuLOFs,81,0.939,0.521,1,-7.468,1,0.379,0.195,0.0,0.201,0.515,124.995,133000,4
Kanii,I Know - PR1SVX Edit,3vcLw8QA3yCOkrj9oLSZNs,85,0.674,0.759,11,-8.234,0,0.0695,0.0784,0.472,0.296,0.109,134.038,133829,4
Metro Boomin,"Home (Metro Boomin & Don Toliver, Lil Uzi Vert)",2qlBAT108lYOzlXhBxBqEv,84,0.599,0.651,0,-6.834,0,0.0436,0.188,0.00144,0.161,0.253,143.985,195320,4
Baby Keem,The Hillbillies,1h6w4POXM2LfG4ZD4xUfZQ,82,0.814,0.606,1,-6.378,1,0.243,0.0166,0.0,0.125,0.208,150.005,204800,4
Tainy,MOJABI GHOST,4eMKD8MRroxCqugpsxCCNb,91,0.805,0.707,6,-3.758,0,0.0353,0.142,3.71e-05,0.563,0.744,122.014,228197,4
Morgan Wallen,I Wrote The Book,7phmBo7bB9I9YifAXqnlqV,78,0.692,0.808,2,-3.757,1,0.0396,0.0834,3.75e-05,0.0913,0.802,143.977,181767,4
(G)I-DLE,Queencard,4uOBL4DDWWVx4RhYKlPbPC,90,0.815,0.834,4,-2.828,0,0.0475,0.0327,0.000268,0.27,0.692,129.989,161240,4
Ice Spice,In Ha Mood,0yUaLqhsVsguBpoOPL4cO7,82,0.768,0.74,0,-6.595,1,0.336,0.696,6.81e-06,0.23,0.532,141.059,129362,4
Nicki Minaj,Red Ruby Da Sleeze,4ZYAU4A2YBtlNdqOUtc7T2,82,0.696,0.733,1,-6.181,1,0.256,0.115,0.0,0.111,0.292,98.355,214445,4
Lijay,I love freaks,2OwdUZPORY0EAdRBF9hSZD,82,0.689,0.461,2,-10.873,1,0.226,0.0983,1.28e-05,0.111,0.26,142.014,101198,4
Latto,Put It On Da Floor Again (feat. Cardi B),6c6WmIHcHlhccEwSFBhzNa,80,0.849,0.614,1,-7.323,1,0.317,0.0282,0.0,0.0603,0.472,111.363,185748,5
Lil Uzi Vert,Died and Came Back,6kQF79mjbOkvuRvg0J2XZv,79,0.674,0.669,1,-5.079,0,0.0803,0.149,0.0,0.56,0.431,132.098,180636,4
Sam Barber,Straight and Narrow,40vKwNlXXKUmQMGceAoEpy,81,0.427,0.278,10,-8.83,1,0.0331,0.47,2.22e-05,0.135,0.374,85.633,199875,3
Bizarrap,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",2NFadq6pUeiVEihLvUlOSr,93,0.784,0.646,11,-3.626,1,0.0491,0.0978,1.09e-06,0.255,0.592,127.942,204048,4
Lil Uzi Vert,All Alone,6kHYpEnDpMCyGu0E2PlWY1,78,0.752,0.693,6,-6.087,0,0.162,0.0954,0.0,0.293,0.473,138.104,222618,4
ENHYPEN,Bite Me,7mpdNiaQvygj2rHoxkzMfa,89,0.795,0.781,1,-4.647,1,0.141,0.285,0.0,0.108,0.687,104.972,157532,4
DDG,I'm Geekin,4jQF77FelHaw2u1CB0sIfp,80,0.839,0.544,9,-6.651,1,0.252,0.344,0.0,0.139,0.332,113.032,101947,4
Lil Uzi Vert,Zoom (Bonus Track),3VFGA65JnN8EDmnRb5SHW2,78,0.818,0.547,5,-5.868,0,0.39,0.0784,1.3e-06,0.119,0.432,79.483,166013,4
Lil Uzi Vert,The End (feat. BABYMETAL),07TSrx1BDK6twM9avkYzbe,79,0.522,0.954,1,-4.547,1,0.0713,2.1e-05,0.676,0.316,0.239,109.973,187244,4
Lil Uzi Vert,Fire Alarm (feat. Snow Strippers),02Mqx9HzVRyfdCUpPNR6N3,78,0.603,0.772,8,-3.953,1,0.039,0.0513,0.000141,0.114,0.0632,130.996,185168,4
Jordan Davis,What My World Spins Around,6vjZxvzdAeHp7jv3R398Xm,78,0.686,0.733,2,-6.483,1,0.0401,0.111,0.0,0.153,0.7,124.882,186800,4
Yeat,Already Rich,61eJ7HqXGyHfmHIqJApX7v,82,0.767,0.798,1,-7.653,1,0.111,0.00201,0.00372,0.125,0.224,135.748,145528,4
Billie Eilish,hotline (edit),0WFryfbNKPXVtVQlz5dZ8H,88,0.516,0.254,9,-16.027,0,0.0589,0.816,0.855,0.189,0.304,56.829,60720,4
Peso Pluma,VVS,3B0swL7Qil9bB7eKzBREBK,82,0.632,0.729,7,-3.066,1,0.112,0.414,0.0,0.0987,0.862,110.238,162676,3
Jordan Davis,Next Thing You Know,39OclE5hZematADrdfaWvE,79,0.549,0.608,5,-8.253,1,0.0481,0.682,0.0,0.0966,0.399,78.534,175227,4
Sam Hunt,Outskirts,2E0bqoMlIb2xmFyZHRjtzK,78,0.552,0.774,10,-3.685,1,0.0401,0.215,0.0,0.126,0.194,75.07,182707,4
Jack Black,Peaches,4w9soAM7IrmYDhSXLp14p6,84,0.698,0.312,10,-10.9,0,0.0483,0.797,0.0,0.1,0.419,92.138,95440,4
Peso Pluma,LAGUNAS,3HOKxuTDmNVmIlCIpBiD8m,83,0.77,0.622,11,-10.621,1,0.026,0.328,0.00603,0.149,0.792,115.952,231247,3
LIT killah,Los del Espacio,1Hs1uUl8o2VtDp1DABFq0O,95,0.813,0.682,0,-3.598,1,0.0402,0.107,0.0,0.108,0.634,120.011,338000,4
Miley Cyrus,Jaded,3AAY8YicetRPlDAkibHLiS,84,0.496,0.593,4,-5.154,1,0.0285,0.0476,0.0,0.0909,0.177,91.038,185933,4
Lil Uzi Vert,That Fiya,1bIHv5s0rByq6ZOqDSt8K8,78,0.565,0.712,3,-4.012,0,0.0301,0.00234,0.0,0.186,0.22,138.124,154832,4
KAROL G,MIENTRAS ME CURO DEL CORA,6otePxalBK8AVa20xhZYVQ,90,0.523,0.477,0,-6.786,1,0.392,0.855,0.0,0.146,0.57,79.921,164387,4
Peso Pluma,RUBICON,0xGZjxYqcNQ8WqxyeZ4eSN,83,0.758,0.816,5,-7.284,1,0.0406,0.136,3.64e-06,0.326,0.915,139.959,238447,3
Conjunto Rienda Real,Sobran Motivos,1uTHr7ij3eiDdUXvQfA5au,82,0.659,0.794,5,-4.379,0,0.0381,0.349,3.91e-06,0.168,0.776,123.801,185339,4
Marshmello,El Merengue,51FvjPEGKq2zByeeEQ43V9,92,0.775,0.677,8,-4.703,0,0.0442,0.0313,0.00517,0.112,0.698,124.011,189357,4
Metro Boomin,"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )",0y8Pu7x5jXgUjOIJvQIF5L,85,0.923,0.505,5,-8.207,1,0.0751,0.412,0.513,0.26,0.594,100.996,195387,4
Gucci Mane,Bluffin (feat. Lil Baby),1hS8xbWKEifaf0VuFpIY69,80,0.678,0.483,1,-7.956,1,0.422,0.00361,0.0,0.109,0.12,160.156,148302,4
Taylor Swift,Karma (feat. Ice Spice),4i6cwNY6oIUU2XZxPIw82Y,84,0.615,0.616,8,-6.523,1,0.0622,0.0623,0.0,0.579,0.0734,89.977,201493,4
Moneybagg Yo,Ocean Spray,6dNOefmb6Lgl5vNtJsSajt,79,0.896,0.581,11,-6.293,1,0.242,0.0334,0.0,0.0941,0.544,133.957,164776,4
Don Toliver,"Givin’ Up (Not The One) (Don Toliver & 21 Savage, 2 Chainz)",0KoBrntyQ2x6Y1eZwgGe5P,82,0.714,0.586,2,-6.925,1,0.0604,0.0211,0.0,0.173,0.283,108.983,234693,4
NF,HAPPY,3ZEno9fORwMA1HPecdLi0R,82,0.732,0.855,7,-4.064,1,0.0415,0.306,0.0,0.12,0.221,106.004,242691,4
Marshmello,Fell In Love,1N8klHEbZ0bFOHnMVs8C9S,81,0.732,0.464,1,-9.722,1,0.0527,0.0899,3.1e-05,0.0997,0.647,149.954,121284,4
Rod Wave,Fight The Feeling,7l6nGz4gp6HGs5Cvmdeqe4,78,0.634,0.538,0,-9.213,1,0.0603,0.0514,0.0,0.099,0.152,168.029,160714,5
Odetari,NARCISSISTIC PERSONALITY DISORDER,6lDJ0CkQ6LdQv5EUQ39rpg,83,0.504,0.91,11,-3.736,1,0.332,0.0235,4.16e-06,0.175,0.337,151.657,110511,4
Peso Pluma,Rosa Pastel,4LreWoO3cpgiIfrRwbOUSF,87,0.702,0.68,7,-5.451,0,0.0373,0.24,0.0,0.111,0.86,122.895,204253,3
Laufey,From The Start,1Ukxccao1BlWrPhYkcXbwZ,82,0.664,0.405,1,-7.413,1,0.08,0.877,0.000765,0.11,0.743,81.89,169573,3
J Hus,Who Told You (feat. Drake),40EXFgNMOIQRQOwJZ8mJkC,89,0.646,0.743,11,-4.572,0,0.338,0.147,0.0,0.101,0.891,151.314,208917,5
Lana Del Rey,Let The Light In (feat. Father John Misty),4qG7hWhljsqqENL5PaLA2z,82,0.327,0.452,9,-9.726,1,0.0277,0.344,0.00332,0.11,0.202,132.427,278126,4
Offset,Danger (Spider) (Offset & JID),3X6qK1LdMkSOhklwRa2ZfG,82,0.833,0.686,11,-6.39,1,0.117,0.0421,0.000128,0.227,0.252,143.427,205267,4
Kylie Minogue,Padam Padam,3k0DJq2HdWJqnqor8NX0ac,85,0.746,0.622,5,-7.923,1,0.241,0.201,0.00113,0.104,0.719,128.101,166267,4
Noah Kahan,Call Your Mom,3yn01PcU95PTbiZ3xvop2j,79,0.479,0.218,0,-11.997,1,0.0375,0.737,3.22e-06,0.114,0.171,172.074,278671,4
Lil Uzi Vert,CS,64b4ElrrZOEp3H1Pac2lG6,76,0.418,0.758,3,-5.914,1,0.0407,0.000174,0.00107,0.13,0.202,127.907,212041,4
Lil Uzi Vert,Just Wanna Rock,4Ls53fBNVfaXTROBi6X8Hw,78,0.485,0.545,11,-7.924,1,0.0336,0.0651,0.00547,0.0642,0.0385,150.185,123891,4
The Weeknd,Double Fantasy (with Future),4VMRsbfZzd3SfQtaJ1Wpwi,86,0.6,0.567,9,-7.269,0,0.033,0.00621,8.73e-06,0.495,0.0951,119.043,268235,4
Parker McCollum,Burn It Down,09hVlIVHtEE1nLUv6YGZiW,77,0.461,0.718,2,-5.627,1,0.0666,0.139,1.66e-05,0.0968,0.334,162.187,233869,4
Mae Stephens,If We Ever Broke Up,6maTPqynTmrkWIralgGaoP,88,0.898,0.732,7,-3.982,1,0.0427,0.621,1.29e-05,0.0908,0.96,115.955,142759,4
Ovy On The Drums,EL HECHIZO,1mF6RkY7x1KsDBZS6cV5f1,85,0.664,0.529,2,-6.149,1,0.0392,0.539,5.28e-05,0.0697,0.439,148.12,167988,4
Warren Zeiders,Pretty Little Poison,2gT2iF1YK5r54A2PDEXVv8,77,0.518,0.557,1,-4.839,1,0.0332,0.0258,2.46e-06,0.156,0.216,111.865,218160,3
Grupo Marca Registrada,Di Que Si,0kzN7YAMSbmlHOvxlbQW9y,85,0.57,0.589,9,-5.378,1,0.0488,0.0753,0.0,0.0582,0.796,182.318,190554,4
"Tyler, The Creator",SORRY NOT SORRY,410ZZP746AQeiywhKvXWCo,80,0.481,0.797,6,-4.094,0,0.201,0.404,0.0,0.368,0.495,96.237,206050,3
Lil Uzi Vert,Days Come and Go,4Dk42ykoREkq82ny0mWZnU,76,0.529,0.735,9,-3.905,1,0.153,0.295,0.0,0.112,0.617,76.209,257673,4
Carrie Underwood,Out Of That Truck,1xdsRkWxWWUkKhh9hRtfYp,77,0.563,0.755,5,-4.504,1,0.0253,0.0134,0.0,0.399,0.811,92.988,177400,4
Gunna,rodeo dr,2rjv9fXzpZDbB6lEeIoB3l,79,0.8,0.754,1,-5.259,0,0.216,0.0668,0.0,0.278,0.334,134.136,176947,4
Lil Uzi Vert,Of Course (Bonus Track),2cg9zc2ba5HGiGMTu4oj69,76,0.686,0.829,8,-4.049,0,0.125,0.066,0.0,0.34,0.562,147.003,208966,4
sped up 8282,Cupid – Twin Ver. (FIFTY FIFTY) – Sped Up Version,3B228N0GxfUCwPyfNcJxps,87,0.737,0.725,5,-7.989,1,0.0414,0.417,0.00129,0.0895,0.746,144.069,145200,4
FIFTY FIFTY,Cupid,5mg3VB3Qh7jcR5kAAC4DSV,87,0.774,0.66,2,-8.2,1,0.0328,0.662,0.0,0.4,0.961,120.023,174253,4
Lil Yachty,Strike (Holster),7iTTWHbr4tAlsRJN4m4bay,79,0.851,0.642,1,-5.281,1,0.216,0.0658,0.0,0.0713,0.701,143.091,148115,4
Clara La San,In This Darkness,6qrcJkIpuWpxH0ruS8WVAy,81,0.647,0.228,2,-19.288,1,0.0668,0.841,0.00149,0.108,0.189,119.828,197000,4
Nate Smith,World on Fire,5ya0TmUQw2wHMkq36rPsnd,78,0.461,0.887,11,-4.871,0,0.0429,0.000219,0.0,0.104,0.411,95.964,189987,4
Calvin Harris,Miracle (with Ellie Goulding),5eTaQYBE1yrActixMAeLcZ,93,0.636,0.869,9,-5.289,1,0.0412,0.0378,0.0446,0.0808,0.306,143.011,186496,4
Noah Kahan,No Complaints,52DudaVZObvmBgEX6IObHX,78,0.683,0.216,1,-11.005,1,0.0388,0.567,0.00105,0.0756,0.311,119.951,205432,3
Lil Uzi Vert,Rehab,3diKIcRsDj2WultNgqi62P,76,0.63,0.598,8,-5.695,1,0.0683,0.535,1.95e-06,0.105,0.488,141.963,245070,4
SZA,Kill Bill (feat. Doja Cat),0CrcwVLUe8wzLUIXgjXVZJ,82,0.629,0.744,5,-6.124,0,0.0409,0.0769,0.247,0.194,0.451,89.021,175837,4
Yeat,My wrist (with Young Thug),2beD5W9IkefQ04IO39XF7w,79,0.784,0.616,0,-7.159,1,0.0927,0.0042,0.00592,0.256,0.291,137.019,190133,4
Anuel AA,Mas Rica Que Ayer,3XjvMZqm2AQ8thMCD6w9w2,88,0.818,0.666,11,-5.319,1,0.0759,0.343,0.0,0.0922,0.529,93.95,199149,4
The Weeknd,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,6WzRpISELf3YglGAh7TXcG,88,0.855,0.678,1,-6.276,1,0.189,0.0569,3.69e-05,0.412,0.852,99.029,215467,4
KAROL G,PROVENZA,3HqcNJdZ2seoGxhn0wVNDK,86,0.87,0.517,1,-7.918,1,0.0475,0.576,0.00553,0.11,0.54,111.002,207627,4
Chris Young,Looking for You,67IfTiMwPNN0wQE7Scfzu9,77,0.53,0.874,7,-3.594,1,0.043,0.0485,0.0,0.153,0.537,81.034,179973,4
LE SSERAFIM,UNFORGIVEN (feat. Nile Rodgers),51vRumtqbkNW9wrKfESwfu,89,0.795,0.875,4,-4.079,0,0.0525,0.111,8.94e-05,0.107,0.375,104.008,182149,4
EI8HT,Silk & Cologne (EI8HT & Offset) - Spider-Verse Remix,5Lv5L45PQmp5CTjs5PlQ6e,83,0.775,0.815,4,-7.607,0,0.0974,0.268,0.00479,0.111,0.847,110.007,162280,4
boygenius,Not Strong Enough,09DR0sHnQUhHOiSNttc1mv,79,0.508,0.797,1,-5.854,1,0.0411,0.00261,7.56e-06,0.0916,0.361,126.982,234933,4
YOASOBI,アイドル,7ovUcF5uHTBRzUpB6ZOmvt,92,0.574,0.935,1,-2.783,1,0.0926,0.112,1.07e-06,0.367,0.836,166.008,213234,4
Ed Sheeran,Eyes Closed,07bsRv0pcpbG4zJeLsUs1p,88,0.777,0.526,2,-6.221,1,0.0645,0.302,0.0,0.105,0.389,107.071,194849,4
Jack Harlow,They Don't Love It,2dSKFFNoNXKo3hPnlwUdPe,81,0.536,0.814,1,-5.407,1,0.306,0.0388,0.0,0.142,0.851,96.7,113292,4
Peso Pluma,NUEVA VIDA,4Nf5EZ40JenjMUKXOiyRU5,80,0.639,0.676,5,-7.376,0,0.11,0.296,0.00059,0.18,0.852,179.971,190680,3
Iniko,Jericho,4ztdjZ2t7BVo5DLIFQBdJh,85,0.721,0.541,2,-8.924,0,0.12,0.528,0.0,0.13,0.616,153.919,158133,4
LE SSERAFIM,"Eve, Psyche & The Bluebeard’s wife",4QhnNyKDsAkXPwHkSnuc89,86,0.663,0.872,11,-5.056,1,0.2,0.0153,0.0,0.0519,0.626,142.951,185539,4
Peso Pluma,CARNAL,2bXJMQZSJND3UYq5mjV4cB,80,0.667,0.786,6,-6.973,0,0.0393,0.176,0.00107,0.149,0.781,135.873,174523,3
Peggy Gou,(It Goes Like) Nanana - Edit,23RoR84KodL5HWvUTneQ1w,90,0.671,0.876,7,-5.681,0,0.0352,0.12,0.188,0.0823,0.964,129.998,231545,4
Kanii,Go (Xtayalive 2),1slDsIJxew9AOOA3v0xFzn,81,0.603,0.797,6,-5.279,0,0.0474,0.00443,5.63e-06,0.103,0.235,135.438,106307,4
Moneybagg Yo,Keep It Low (feat. Future),293QwzG48nRXlqk5lGDUbw,78,0.786,0.698,1,-4.697,1,0.0976,0.0175,0.0,0.194,0.168,154.954,142452,4
CHINCHILLA,Little Girl Gone,5OLcsBO28uWHMzS0EEeZNp,81,0.706,0.675,1,-6.351,0,0.237,0.177,0.0,0.0852,0.516,159.961,188596,4
Summer Walker,"To Summer, From Cole - Audio Hug",2f86Ae3R4OKAu1lEIqouih,80,0.735,0.459,6,-10.164,0,0.273,0.706,2.04e-06,0.101,0.583,74.052,147667,4
Young Thug,"Wit Da Racks (feat. 21 Savage, Travis Scott & Yak Gotti)",0r75DNlHu4recmKUdZeMfG,79,0.768,0.714,4,-6.914,0,0.294,0.00278,0.0,0.296,0.363,145.113,226413,4
Eric Land,Chorei na Vaquejada,6xRDvureEBwHgwAYDufbJL,81,0.604,0.873,1,-3.197,0,0.0408,0.667,0.0,0.209,0.834,154.011,157171,4
Gunna,ca$h $hit,48rsYvIQXUAtxcmIoStOaM,79,0.795,0.55,7,-5.704,0,0.0882,0.123,0.0,0.0873,0.152,119.975,131493,4
ATEEZ,BOUNCY (K-HOT CHILLI PEPPERS),5KyOUICJIvO0z71MBdPGiX,84,0.532,0.896,8,-4.356,1,0.184,0.00869,0.0,0.106,0.479,150.06,187311,4
IVE,I AM,70t7Q6AYG6ZgTYmJWcnkUM,89,0.683,0.875,4,-4.866,0,0.0549,0.0115,0.0,0.084,0.384,122.002,183853,4
Young Thug,Parade on Cleveland (feat. Drake),05CTjmZKjZoCKQvM1Ldq9M,79,0.528,0.298,3,-13.044,0,0.556,0.444,7.76e-06,0.111,0.313,166.116,228267,1
Hozier,Eat Your Young,2Jw3VjB1xy5KHBqEeAC6VK,76,0.553,0.587,5,-6.829,1,0.0277,0.345,0.1,0.256,0.346,90.018,242293,4
Morgan Wallen,Whiskey Friends,2ewSCWOL7EAjgmgqfI1UlS,76,0.544,0.826,1,-3.848,1,0.0288,0.0631,1.46e-05,0.113,0.596,142.029,205579,4
Josh Ross,Trouble,7cRggVoZ18mmvIN2EcSQ3J,77,0.636,0.592,11,-5.025,1,0.0285,0.127,0.0,0.134,0.266,120.058,214799,3
Lil Uzi Vert,Shardai (Bonus Track),2w4NpuHV8X5FOlJpM7GDZF,74,0.679,0.673,1,-5.465,1,0.0856,0.0177,0.0,0.181,0.086,148.935,201898,4
Tito Double P,DEMBOW BÉLICO,0FkD2FHEZrZIofVkY6XPFK,87,0.881,0.551,2,-6.41,1,0.123,0.0205,0.16,0.19,0.196,119.951,126523,4
Eslabon Armado,Quedate Conmigo,2lqHosXoRrzxh42th6Mi7a,80,0.722,0.588,8,-6.027,1,0.038,0.0527,0.0,0.455,0.636,87.876,160752,4
Peso Pluma,GAVILÁN II,775hCSePn3GW4h9nZ636kq,78,0.738,0.843,11,-4.749,0,0.0607,0.355,4.54e-05,0.358,0.734,143.09,225480,3
NLE Choppa,SLUT ME OUT,0WoVfPjxsf9MTvPt9ptqeE,79,0.938,0.606,6,-6.396,0,0.419,0.117,0.0,0.528,0.706,121.108,123673,4
YoungBoy Never Broke Again,Bitch Let's Do It,3EN9CgupFLmuwmHYUPq0ny,76,0.618,0.83,1,-4.614,1,0.323,0.0682,0.0,0.121,0.443,82.885,185117,4
"Tyler, The Creator",DOGTOOTH,6OfOzTitafSnsaunQLuNFw,78,0.706,0.648,8,-6.348,1,0.324,0.505,0.0,0.215,0.802,77.533,161041,4
Morgan Wallen,Neon Star (Country Boy Lullaby),1GiwvmI57OTGcKGNigZFJb,76,0.704,0.677,5,-6.135,1,0.0288,0.426,3.29e-06,0.118,0.715,92.021,171495,4
beabadoobee,Glue Song,3iBgrkexCzVuPy4O9vx7Mf,81,0.62,0.409,1,-10.146,1,0.0282,0.77,0.0542,0.105,0.582,113.946,135067,3
Kane Brown,Bury Me in Georgia - Single Edit,2mltIbKkhQqyh8gCzaqxqA,76,0.391,0.816,2,-5.746,0,0.066,0.0169,0.0,0.0893,0.457,160.001,170683,4
The Weeknd,"False Idols (with Lil Baby, Suzanna Son)",6cViXqp01e3FrAaseuiSAV,76,0.676,0.608,9,-4.972,0,0.0329,0.213,0.0,0.104,0.118,119.993,262230,4
Thomas Rhett,Angels (Don’t Always Have Wings),5vZoQQ1hH5L2s4Y8G86ksg,76,0.527,0.598,1,-4.257,1,0.0283,0.063,0.000153,0.0913,0.23,66.041,200427,3
Flyana Boss,You Wish,0aoLgGE9S9qMjIGtTgpnNd,78,0.833,0.848,6,-3.703,1,0.222,0.069,0.0,0.335,0.934,160.114,120016,4
Natanael Cano,Pacas De Billetes,3IMuuBcKSeFqQSlF2XluA1,86,0.718,0.726,7,-5.91,0,0.0403,0.0889,0.0,0.294,0.925,142.986,188075,3
KAROL G,X SI VOLVEMOS,4NoOME4Dhf4xgxbHDT7VGe,87,0.794,0.807,1,-3.447,0,0.326,0.334,0.0,0.104,0.575,178.003,200120,4
Morgan Wallen,I Deserve A Drink,7u2iWRkkz8GBYFe4apxVBl,76,0.475,0.606,5,-4.906,1,0.03,0.0995,0.0171,0.0931,0.303,123.009,206138,3
Noah Kahan,Paul Revere,1dHtMSJ1Ozg2Ja6GX4McAO,76,0.705,0.387,2,-9.599,1,0.033,0.572,0.0,0.119,0.493,107.931,213313,4
Grupo Frontera,Le Va Doler,5dDN8h9dqErwnc88uyKq1b,83,0.601,0.775,9,-4.244,1,0.0421,0.0838,0.0,0.116,0.66,147.854,153645,4
Yandel,Yandel 150,4FAKtPVycI4DxoOHC01YqD,90,0.783,0.729,6,-3.549,0,0.0691,0.0492,0.000272,0.1,0.58,167.968,216148,4
Gunna,bread & butter,6GoVUO5vla1JtUj2rq9Yl4,79,0.803,0.649,9,-4.294,0,0.213,0.111,0.0,0.111,0.135,85.037,226360,4
Gucci Mane,06 Gucci (feat. DaBaby & 21 Savage),4mWbFYZ9P14Ulf1LIFZGhH,77,0.786,0.719,0,-7.487,0,0.296,0.252,0.0,0.301,0.802,130.081,178950,4
Peso Pluma,BYE,6f8wbdo8KU5ETWJA7lapgS,77,0.782,0.812,0,-6.613,1,0.0469,0.567,0.00045,0.101,0.7,122.063,212976,3
The Kid LAROI,Love Again,4sx6NRwL6Ol3V6m9exwGlQ,82,0.662,0.398,11,-6.691,0,0.0275,0.716,0.0,0.111,0.468,107.001,145850,4
Falling In Reverse,Watch The World Burn,4CiVz4bw7X1zjCaJ5ZwxUS,81,0.395,0.784,10,-5.903,0,0.132,0.0135,0.0,0.213,0.353,161.946,203948,4
Feid,Niña Bonita,3Gs7mVfWKl567mjozgxmXv,90,0.823,0.615,7,-4.19,1,0.147,0.104,0.0,0.104,0.47,90.952,187653,4
Sexyy Red,Pound Town 2 (feat. Nicki Minaj & Tay Keith),6IEXjer2qbXhRLFv99NQQv,77,0.637,0.634,2,-8.126,1,0.426,0.174,0.0,0.149,0.49,178.037,194048,4
Rauw Alejandro,BABY HELLO,2SOvWt6igzXViIjIiWNWEP,90,0.773,0.892,1,-3.732,0,0.0483,0.166,3.1e-06,0.429,0.842,130.007,222462,4
Peso Pluma,ZAPATA,3CEk3KwDixeCKOVPacup7L,77,0.688,0.821,9,-6.042,0,0.07,0.0929,8.46e-05,0.137,0.744,138.049,177652,3
Metro Boomin,"Nonviolent Communication (Metro Boomin & James Blake, A$AP Rocky, 21 Savage)",3xMnPIvsaWwzHzqqzaihEX,81,0.859,0.378,1,-9.03,1,0.104,0.281,0.000174,0.122,0.0838,123.629,209533,4
Corey Kent,Something's Gonna Kill Me,41cv1emXVm5Su4DWvltXa6,75,0.659,0.823,4,-5.77,0,0.0415,0.0174,1.82e-06,0.11,0.405,112.931,183680,4
Lil Durk,Never Imagined (feat. Future),4fbXBeVeqzZ0SmJQcWm4St,76,0.695,0.673,4,-7.261,0,0.245,0.0313,0.0,0.322,0.273,80.063,192000,4
Noah Kahan,"Your Needs, My Needs",5S9hlmzNQwZuhynLfxZ8Lg,76,0.346,0.149,7,-12.156,1,0.0378,0.404,0.000117,0.104,0.259,155.422,207880,3
Jimin,Set Me Free Pt.2,59hBR0BCtJsfIbV9VzCVAp,85,0.585,0.815,0,-4.165,0,0.0565,0.115,0.0,0.124,0.564,132.09,200930,4
Luke Combs,Love You Anyway,3qXsX3mYSsD1DmAvc3PE3N,77,0.532,0.489,4,-7.419,1,0.0311,0.149,0.0,0.237,0.32,139.807,229627,4
Fall Out Boy,We Didn’t Start The Fire,60glT2wsoSHV3B8yCRSB8v,79,0.567,0.961,7,-4.084,1,0.0572,0.00139,3.7e-05,0.102,0.669,151.92,215531,4
Grupo Firme,Qué Onda Perdida,3upTB6o5YgeALHgDp3mzte,86,0.497,0.501,2,-4.141,1,0.03,0.305,0.0,0.377,0.669,109.732,239637,1
Peso Pluma,SU CASA,1tGGJ4SRZnd2H0E2dV05iM,76,0.809,0.87,8,-6.356,0,0.0601,0.376,4.64e-06,0.106,0.903,127.926,138560,3
Shakira,Acróstico,7txjUEY6McJDJKqIo1Rxjp,91,0.748,0.478,11,-8.886,1,0.121,0.837,0.0,0.099,0.353,143.866,170786,4
Jonas Brothers,Waffle House,5iE3eUH2WGCXcE2xr6DEmU,82,0.729,0.763,10,-4.407,1,0.0363,0.033,1e-06,0.192,0.864,126.002,145441,4
The Weeknd,Die For You (with Ariana Grande) - Remix,4W4fNrZYkobj539TOWsLO2,88,0.575,0.5,1,-7.594,0,0.0707,0.227,0.0,0.335,0.506,67.033,232857,4
Tiago PZK,Me Enteré,5FWQLEX0lavdxiWGBNkBQ4,88,0.595,0.675,8,-3.814,1,0.108,0.121,1.24e-06,0.314,0.612,140.978,182076,3
Hozier,Unknown / Nth,0yyQOpUfKMOg1JpFQi2reh,75,0.479,0.178,2,-9.98,1,0.0382,0.76,0.000168,0.0897,0.21,134.856,280107,4
Dalton Dover,Giving Up On That,2Iu5OBDudGv5B0qfKKKbGm,75,0.484,0.864,3,-4.593,1,0.0467,0.0324,0.0,0.0926,0.425,137.989,211533,4
boygenius,Cool About It,5PJH1U5Iie893v48Fl9yaC,78,0.565,0.203,2,-13.656,1,0.0332,0.902,0.0,0.115,0.408,93.213,180000,4
Peso Pluma,LA PEOPLE,1RzjXhgnzqb3dMa5852itx,76,0.736,0.862,7,-4.136,0,0.0333,0.464,0.0,0.0904,0.799,145.001,153032,3
JISOO,FLOWER,69CrOS7vEHIrhC2ILyEi0s,84,0.841,0.384,9,-7.684,0,0.0351,0.0236,2.28e-06,0.0735,0.597,123.961,173134,4
Nicky Jam,69,13Z5Q40pa1Ly7aQk1oW8Ce,87,0.785,0.617,8,-4.202,1,0.234,0.109,0.0,0.11,0.58,92.844,221936,4
